!!!SBtab Document='eQuilibrator thermodynamic data' SBtabVersion='1.0' Date='2019-12-12',,,,,,,,
!!SBtab TableID='ReactionGFE' TableType='Quantity' TableName='Reaction table of transformed energies' SBtabVersion='1.0' Date='2019-12-12' Unit='kJ/mol' IonicStrengthUnit='M' TemperatureUnit='K',,,,,,,,
!QuantityType,!Identifiers:kegg.reaction,!Unit,!Mean,!Std,!pH,!IonicStrength,!Temperature,!Comment
standard Gibbs energy of formation,R00190,kJ/mol,17.2,2.6,7,0.1,298.15,
standard Gibbs energy of formation,R00191,kJ/mol,-41.5,2.2,7,0.1,298.15,
standard Gibbs energy of formation,R00192,kJ/mol,34.7,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R00193,kJ/mol,-23.6,9.5,7,0.1,298.15,
standard Gibbs energy of formation,R00194,kJ/mol,-14.9,8.8,7,0.1,298.15,
standard Gibbs energy of formation,R00195,kJ/mol,-5.5,7.1,7,0.1,298.15,
standard Gibbs energy of formation,R00196,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00197,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00198,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00199,kJ/mol,3.8,1,7,0.1,298.15,
standard Gibbs energy of formation,R00200,kJ/mol,27.7,0.8,7,0.1,298.15,
standard Gibbs energy of formation,R00203,kJ/mol,-29.1,4.1,7,0.1,298.15,
standard Gibbs energy of formation,R00205,kJ/mol,-28.1,4.1,7,0.1,298.15,
standard Gibbs energy of formation,R00206,kJ/mol,19.6,1,7,0.1,298.15,
standard Gibbs energy of formation,R00207,kJ/mol,-158.9,10.4,7,0.1,298.15,
standard Gibbs energy of formation,R00208,kJ/mol,-54.1,1.1,7,0.1,298.15,
standard Gibbs energy of formation,R00209,kJ/mol,-35.3,6.4,7,0.1,298.15,
standard Gibbs energy of formation,R00210,kJ/mol,-34.3,6.4,7,0.1,298.15,
standard Gibbs energy of formation,R00211,kJ/mol,-168.7,10.3,7,0.1,298.15,
standard Gibbs energy of formation,R00212,kJ/mol,21.2,3,7,0.1,298.15,
standard Gibbs energy of formation,R00213,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00214,kJ/mol,13,6.2,7,0.1,298.15,
